exampleId,insightId,example
cnf93xkfs,y79oir8z0,"Visual cues, such as color coding or icons, to differentiate between general advice and more critical or sensitive information that may require further verification."
01qz6ryxv,y79oir8z0,Short video explanations embedded within the interface to educate students on how AI coaching works and its appropriate use cases.
az2w49qt8,y79oir8z0,"Real-time notifications or alerts if the AI detects a situation that requires immediate human intervention, such as potential mental health concerns."
5wdumpfaj,k4kmohgkj,Rating system for individual AI responses.
pia2397qj,k4kmohgkj,Post-session surveys on overall experience.
nhflu8f6u,k4kmohgkj,Option to report concerning or unhelpful AI behavior.
znu8esrbb,k4kmohgkj,Periodic in-depth user interviews or focus groups.
ag8krryzb,k4kmohgkj,Open-ended comment boxes for specific suggestions.
tzq3jhy4p,k4kmohgkj,"Feedback prompts after key milestones (e.g., course registration, exam periods)."
pgpdt1het,k4kmohgkj,Regular check-ins with student representatives or advisory groups.
218xoqm9r,o7hcmo1d3,Writing AI prompts to test outputs: Educate users on how to craft prompts that will help them get accurate and useful responses from the AI.
jh4nowynf,o7hcmo1d3,"Elements in the user interface: Provide clear guidance within the UI to help users understand the AI's capabilities, limitations, and how to interpret responses."
6jayiq24m,o7hcmo1d3,Getting direct user feedback: Encourage users to regularly provide feedback on their experience to help refine the AI's performance.
zoea34x4d,o7hcmo1d3,"User education and literacy: Implement training sessions, in-app tutorials, and resources to increase users' understanding of AI, including its benefits and limitations."
szfx93c5g,o7hcmo1d3,"Monitoring and human oversight: Ensure there is continuous monitoring of the AI's performance with the option for human intervention when needed, and educate users on when it's appropriate to seek human help."
4886em385,n604057y8,Track the frequency of outdated information being provided.
ru6t87eid,n604057y8,Flag instances where international students are incorrectly advised.
b2hbsde5l,n604057y8,Analyze cases where students report the given advice as confusing or unhelpful.
van4wurbz,n604057y8,Monitor the frequency of the AI coach escalating sensitive questions to human coaches.
3vftbxo2b,n604057y8,Set up alerts for any patterns of inaccuracies or inconsistencies in the AI's responses.
chcxyqg7f,n604057y8,"Review and audit interactions involving high-risk topics, such as mental health or academic integrity."
q2lwdw49f,n604057y8,Establish thresholds for acceptable error rates and set protocols for intervention if those thresholds are exceeded.
i05wwzpxm,n604057y8,Ensure that monitoring data is regularly reviewed by human oversight teams to identify trends and areas needing improvement.
z9nw0z35s,1h7z1krru,Supporting a student who has lost their housing and needs help finding temporary shelter.
1kh0qsm86,1h7z1krru,Assisting a student with an upcoming FAFSA deadline.
hmtb8hkzg,1h7z1krru,"Assisting a student in balancing their coursework, part-time job, and social life."
2ht0sovlg,y8hdnq806,Accountability
e04cl72ly,y8hdnq806,Transparency
oovagiabt,y8hdnq806,Safety
btrw33b08,y8hdnq806,Privacy
qxq33ugjw,ka7pbgju3,Perceived knowledge of AI
jp9s396el,ka7pbgju3,Attitudes towards AI
1jq43l2hf,ka7pbgju3,Perceived social norms regarding AI
uehhwypwj,ka7pbgju3,Perceived ease of use of AI
rt8ey6vmk,ka7pbgju3,Perceived usefulness of AI
377mm7yr6,ka7pbgju3,Intention to use AI

cvq3aphj4,ln16z84mi,Implement a prominent 'Request Human Coach' button in the AI interface.
vcvksx0hr,ln16z84mi,Develop a feedback form for students to express their need for human interaction.
z6gr4lpkq,ln16z84mi,Set up automatic escalation for discussions involving sensitive topics such as self-harm or academic probation.
5ho657ttf,ln16z84mi,Develop a user preference setting for the frequency of human coach check-ins.
xfnev3tu0,k70f5p4cd,Frequency of check-ins or reminders
kx4e93epu,k70f5p4cd,Topics they're comfortable discussing with AI vs. human coaches
a2nurh3j3,k70f5p4cd,Deadline sensitivity (how early to start reminding about due dates)
4ozmltgbx,k70f5p4cd,Level of detail in explanations (brief overviews vs. in-depth discussions)
2pyyhyncz,k70f5p4cd,Cultural or religious considerations in advice and examples
3mt4n3phb,k70f5p4cd,Privacy settings for sharing their data
m2b7u5cga,vujn0d2sh,Allow students to define their comfort levels for discussing different sensitive topics.
i7irslaxg,vujn0d2sh,"Provide privacy statements, be clear about when and how student conversations are saved within the system."
od41mz5fh,vujn0d2sh,Allow students to delete parts of their conversation.
topl55iu0,lpt0qax2c,"Mental health concerns (depression, anxiety, suicidal thoughts)"
lmcd38ejk,lpt0qax2c,Physical health issues affecting academic performance
isos3gup1,lpt0qax2c,Substance abuse or addiction
b6cw04brt,lpt0qax2c,Sexual harassment or assault
xxf2ffluh,lpt0qax2c,Discrimination or bullying
hl8y6u5hk,lpt0qax2c,Family crises or domestic violence
hpnfnt2ok,lpt0qax2c,Financial hardships affecting studies
yi7p65q6w,lpt0qax2c,Eating disorders
w7nmdyq6l,lpt0qax2c,Struggles stemming from gender identity or sexual orientation
3q6iy0weu,lpt0qax2c,Grief and loss
y1kdussg0,lpt0qax2c,Academic integrity violations
xxlr2nm97,lpt0qax2c,Visa or immigration status issues
77p5g2lzs,lpt0qax2c,Pregnancy or childcare challenges
ydw7iavu7,lpt0qax2c,Traumatic experiences affecting academic life
0q9l59x7l,lpt0qax2c,Severe academic struggles or potential dismissal
ehp2ntwsa,176t4im7v,Keyword analysis for crisis-related terms or phrases
pgqyt4ejo,176t4im7v,Detecting sudden changes in student activity patterns
9ohzxhdvx,176t4im7v,Sentiment analysis to detect prolonged negative emotions
hk7k89ma7,176t4im7v,Tracking sudden drops in academic performance or engagement
tvy04g8qh,176t4im7v,Monitoring for repeated questions about coping strategies
rboyz4qj7,176t4im7v,Detection of social isolation indicators in student's descriptions
6nd2j19hj,176t4im7v,Detecting expressions of hopelessness or worthlessness
hqa4u4jee,60nbgks4p,"Enable students to set their preferred communication tone (formal, casual, motivational, etc.)."
r65awi15z,60nbgks4p,"If assumptions are made based on existing data, the system should transparently communicate those assumptions."
